ID,Category,Price,Timestamp
1,Clothing,221.13,2024-05-01 08:06:55
2,Home,24.3,2024-11-03 08:06:55
3,Books,260.23,2025-01-15 08:06:55
4,Electronics,362.74,2024-06-27 08:06:55
5,Books,227.14,2024-11-02 08:06:55
6,Toys,24.39,2024-10-18 08:06:55
7,Electronics,89.35,2025-01-12 08:06:55
8,Toys,450.15,2024-03-31 08:06:55
9,Books,149.23,2024-10-06 08:06:55
10,Books,215.92,2024-06-10 08:06:55
11,Electronics,20.98,2024-05-20 08:06:55
12,Toys,375.21,2024-05-30 08:06:55
13,Toys,119.82,2024-03-30 08:06:55
14,Electronics,426.34,2024-05-22 08:06:55
15,Home,6.73,2024-12-31 08:06:55
16,Home,112.69,2025-03-25 08:06:55
17,Electronics,389.04,2025-01-29 08:06:55
18,Toys,418.86,2024-06-26 08:06:55
19,Home,208.69,2024-06-13 08:06:55
20,Home,302.34,2024-11-06 08:06:55
21,Electronics,391.08,2024-08-01 08:06:55
22,Clothing,408.31,2024-09-11 08:06:55
23,Toys,111.35,2024-11-03 08:06:55
24,Toys,247.42,2024-09-11 08:06:55
25,Toys,88.12,2024-07-12 08:06:55
26,Toys,426.79,2024-04-25 08:06:55
27,Books,413.74,2024-09-10 08:06:55
28,Books,492.29,2024-05-30 08:06:55
29,Electronics,347.84,2024-11-08 08:06:55
30,Books,13.98,2024-10-18 08:06:55
31,Clothing,13.37,2025-02-01 08:06:55
32,Home,237.37,2024-12-23 08:06:55
33,Clothing,416.7,2024-05-20 08:06:55
34,Clothing,433.21,2024-06-23 08:06:55
35,Books,345.46,2025-03-23 08:06:55
36,Electronics,32.31,2024-11-05 08:06:55
37,Toys,198.4,2024-06-21 08:06:55
38,Electronics,150.64,2024-06-28 08:06:55
39,Books,385.36,2024-05-02 08:06:55
40,Toys,93.43,2024-09-23 08:06:55
41,Electronics,376.49,2024-10-01 08:06:55
42,Books,304.31,2024-04-12 08:06:55
43,Toys,211.79,2024-12-08 08:06:55
44,Books,28.64,2024-10-19 08:06:55
45,Home,156.46,2024-09-19 08:06:55
46,Toys,176.83,2024-12-01 08:06:55
47,Home,466.91,2025-02-13 08:06:55
